time,image,x,y,z,qx,qy,qz,qw,distance,angle   
1596611129.7782822,Image_000001,-0.0035902858,-0.011693001,-0.0026037805,-0.39996406,-0.55751956,-0.42229262,0.59234226,0.0,0.0
1596611130.1621199,Image_000002,-0.0005146265,-0.011090517,-0.016515415,-0.40321684,-0.5650557,-0.42063513,0.58411825,0.014260302,1.3452071
1596611130.1963391,Image_000003,1.9460917e-05,-0.010550499,-0.019141834,-0.40227228,-0.5654931,-0.42057708,0.5843878,0.0027340348,0.12511452
1596611130.494139,Image_000004,0.0069262995,-0.003529949,-0.051437322,-0.39262283,-0.57468766,-0.41557562,0.5855579,0.033763755,1.6375331
1596611130.574561,Image_000005,0.010098071,-0.0026138257,-0.06371926,-0.39139795,-0.57480735,-0.41605794,0.5859177,0.012717915,0.16785875
1596611131.231886,Image_000006,0.093077004,0.0027838945,-0.12205344,-0.38381416,-0.58523166,-0.40686065,0.58707297,0.10157517,1.8204246
1596611131.26824,Image_000007,0.0979148,0.0026121475,-0.122243285,-0.3842085,-0.58514166,-0.4071078,0.58673334,0.004844565,0.07912937
1596611131.4036388,Image_000008,0.1125139,0.0027974844,-0.120219074,-0.3841779,-0.58482015,-0.40734032,0.5869125,0.014739928,0.055952914
1596611131.548133,Image_000009,0.21121353,0.0044533014,-0.102652386,-0.3741131,-0.5838521,-0.40773416,0.5940613,0.100264385,1.4204859
1596611131.76281,Image_000010,0.30823863,0.014190197,-0.07487455,-0.37648135,-0.5867088,-0.40098706,0.594343,0.10139173,0.8838103
1596611132.063994,Image_000011,0.41051775,0.02592802,-0.051959496,-0.37993458,-0.5756336,-0.39545485,0.6065565,0.10546988,2.0321267
1596611132.328261,Image_000012,0.5110533,0.0271457,-0.040138233,-0.3774107,-0.5763887,-0.39853898,0.60539544,0.101235494,0.4829489
1596611132.563455,Image_000013,0.6283619,0.016189337,-0.043220893,-0.374369,-0.584346,-0.3958651,0.60139686,0.11785942,1.121159
1596611132.748407,Image_000014,0.73033077,0.015866518,-0.049768962,-0.3699384,-0.5880294,-0.39526272,0.6009445,0.10217942,0.66675687
1596611132.9496331,Image_000015,0.8328907,0.022272902,-0.06053194,-0.36563858,-0.5873172,-0.39499423,0.60443884,0.10332193,0.64041114
1596611133.1639361,Image_000016,0.9345707,0.02284205,-0.06433232,-0.37333468,-0.57679594,-0.39102784,0.6123927,0.10175263,1.8079127
